곡번호,번역명,원어명,작곡가,수록일,Easy,Normal,Hard,Expert,Master
313,세츠나 트립,セツナトリップ ,Last Note.,2023.05.15,6,12,20,27,32
314,샨티,シャンティ ,wotaku,2023.05.19,6,13,18,25,30
315,이터널 아리아,エターナルアリア ,Adeliae,2023.05.22,8,14,19,27,30
316,Blue Star,Blue Star,八王子P,2023.05.26,6,12,17,25,29
317,모형 정원의 코럴,箱庭のコラル  ,koyori,2023.05.29,6,12,17,23,27
318,인생,人生 ,gcmstyle(アンメルツP),2023.06.02,9,14,23,31,37
319,Wonder Style,Wonder Style,colate,2023.06.07,6,11,18,24,28
320,하극상,下剋上 ,Misumi,2023.06.10,8,12,18,25,30
321,"아아, 훌륭한 고양이의 삶",嗚呼、素晴らしきニャン生 ,Nem,2023.06.12,8,13,18,24,29
322,스타더스트 메들리,スターダストメドレー ,きさら,2023.06.16,7,13,20,26,30
323,팀메이트,チームメイト ,HoneyWorks,2023.06.20,8,12,18,24,30
324,glow,glow,keeno,2023.06.23,5,11,17,22,26
325,정말 멋진 6월이었습니다,とても素敵な六月でした ,Eight,2023.06.26,9,12,18,24,29
326,UNDERWATER,UNDERWATER,Hylen,2023.06.28,6,11,16,24,29
327,두근 어질,きゅうくらりん ,いよわ,2023.07.03,9,14,20,27,31
328,Afterglow,Afterglow,ジミーサムP,2023.07.07,8,11,16,23,27
329,태양계 디스코,太陽系デスコ ,ナユタン星人,2023.07.12,7,13,17,23,28
330,심박 페어링,心拍ペアリング ,雪乃イト,2023.07.14,6,11,17,23,28
331,연극,演劇 ,ナノウ,2023.07.19,8,11,17,24,28
332,별을 잇다,星を繋ぐ ,40mP × 一二三 (12340mP),2023.07.21,7,12,18,24,28
333,뇌내혁명 걸,脳内革命ガール ,MARETU,2023.07.24,9,13,18,27,31
334,Decade,Decade,Dixie Flatline,2023.07.28,6,11,16,24,30
335,우리들 스테인 버스터즈!,我らステインバスターズ! ,真島ゆろ,2023.08.01,6,12,17,24,28
336,신인류,新人類 ,まらしぃ × じん × 堀江晶太(kemu),2023.08.03,6,13,19,27,31
337,즌다 파티 나잇,ずんだパーリナイ ,なみぐる,2023.08.04,7,13,19,27,31
338,Disco No.39,Disco No.39,Rulmry.,2023.08.10,6,13,19,26,30
339,서머타임 레코드,サマータイムレコード ,じん,2023.08.15,9,13,19,24,28
340,리얼라이즈,リアライズ ,柊マグネタイト,2023.08.19,7,13,19,25,29
341,키라피피★키라피카,キラピピ★キラピカ  ,nyanyannya (大天才P),2023.08.21,7,11,16,23,27
342,보틀케이크,ボトルケーキ ,ライブP,2023.08.25,5,11,16,24,28
343,마음탓,心做し ,蝶々P,2023.08.28,5,12,16,22,26
344,블루 플래닛,ブループラネット  ,DECO*27,2023.08.31,8,13,19,26,30
345,HERO,HERO,Ayase,2023.09.01,8,13,1,26,31
346,CIRCUS PANIC!!!,CIRCUS PANIC!!!,サツキ,2023.09.04,6,13,19,27,32
347,하얀 눈의 프린세스는,白い雪のプリンセスは ,のぼる↑,2023.09.11,9,14,17,24,29
348,Un-Lock,Un-Lock,無力P,2023.09.19,6,12,18,24,28
349,럭키☆오브,ラッキー☆オーブ  ,emon(Tes.),2023.09.25,6,11,17,24,28
350,NEO,NEO,じん,2023.09.30,8,13,19,25,29
351,아임 마인,アイムマイン ,halyosy,2023.10.01,6,13,19,25,29
352,천악,天樂  ,ゆうゆ,2023.10.02,9,13,18,25,29
353,뜻대로,まにまに  ,r-906,2023.10.03,7,13,19,25,29
354,멜랑콜릭,メランコリック  ,Junky,2023.10.04,6,13,16,24,27
355,돼지가 되어 yeah yeah,豚になってyeah yeah  ,Neru,2023.10.05,5,12,17,24,28
356,사랑은 전쟁,恋は戦争  ,ryo,2023.10.06,8,12,16,23,27
357,데빌이 아닌걸,デビルじゃないもん  ,DECO*27 × ピノキオピー,2023.10.07,7,12,19,26,29
358,좋아하는 것만으로도 괜찮아요,すきなことだけでいいです  ,ピノキオピー,2023.10.08,6,12,18,26,31
359,츠가이코가라시,番凩  ,hinayukki@仕事してP,2023.10.09,6,12,17,24,27
360,신 같네,神っぽいな  ,ピノキオピー,2023.10.10,6,13,18,25,29
361,Dear,Dear ,19's Sound Factory,2023.10.11,6,12,17,23,28
362,CR에이ZY,CR詠ZY  ,梅とら,2023.10.12,5,13,19,24,28
363,Cool Me Down,Cool Me Down,Mwk,2023.10.16,7,13,19,25,29
364,악역에게 키스신을,悪役にキスシーンを  ,40mP,2023.10.23,6,12,18,25,29
365,제멋대로 공주,我儘姫  ,ふじを,2023.10.25,6,11,18,26,30
366,purpose,purpose ,doriko,2023.10.29,6,12,18,24,28
367,허그,はぐ  ,MIMI,2023.10.31,6,13,18,24,29
368,트와일라잇 라이트,トワイライトライト  ,とあ,2023.11.01,8,13,17,22,26
369,춘람,春嵐  ,john,2023.11.06,6,14,20,27,30
370,ARQETYPE ,ARQETYPE ,Sonbana,2023.11.10,9,14,21,27,31
371,On&On ,On&On ,めろくる,2023.11.13,6,12,18,23,27
372,큐트한 그녀,キュートなカノジョ  ,syudou,2023.11.22,7,13,17,26,30
373,필라멘트 피버,フィラメントフィーバー  ,栗山夕璃,2023.11.28,6,13,18,25,29
374,안녕 프린세스,さよならプリンセス ,Kai,2023.12.04,8,14,19,26,30
375,Beyond the way ,Beyond the way ,Giga,2023.12.08,7,13,17,25,28
376,쇼타임×오디언스,ショウタイム×オーディエンス  ,瀬名航,2023.12.11,9,14,18,25,30
377,난청계 남자가 쓰러지지 않아,難聴系男子が倒せない ,ラマーズP,2023.12.18,7,12,17,25,30
378,오버 코드,オーバーコード ,いえぬ,2023.12.22,5,12,18,26,30
379,슬로우 다우너,スロウダウナー ,ろくろ,2023.12.25,8,13,18,26,30
380,첫사랑이 끝날 때,初めての恋が終わる時 ,ryo,2023.12.28,8,12,17,25,29
381,25시의 정열,25時の情熱 ,カンザキイオリ,2023.12.29,5,11,17,22,25
382,금목서,金木犀 ,くじら,2023.12.30,6,12,17,26,29
383,일천광년,一千光年 ,いよわ,2023.12.31,8,13,18,25,30
384,강풍올백,強風オールバック ,ゆこぴ,2024.01.01,6,13,17,24,28
385,불장난,ヒアソビ ,かめりあ,2024.01.02,9,13,18,27,31
386,엔비 베이비,エンヴィーベイビー ,Kanaria,2024.01.03,7,13,17,23,28
387,『응앗앗.』,『んっあっあっ。』 ,SLAVE.V-V-R,2024.01.04,6,13,18,24,28
388,텅 비어가,くうになる ,MIMI,2024.01.05,7,13,18,24,29
389,하이드 앤 시크,ハイドアンド・シーク ,19's Sound Factory,2024.01.09,7,12,17,24,28
390,folern,folern,ぬゆり,2024.01.11,9,12,21,30,32
391,MOTTO!!!,MOTTO!!!,Junky,2024.01.15,6,11,16,23,27
392,Sage,Sage,かめりあ,2024.01.18,9,13,21,29,32
393,심니몽(syndrome),心泥夢(syndrome),宮守文学,2024.01.22,7,12,19,27,31
394,사이버펑크 데드 보이,サイバーパンクデッドボーイ ,マイキP,2024.01.23,7,13,19,27,30
395,MarbleBlue.,MarbleBlue.,MisoilePunch♪,2024.01.25,9,14,21,30,33
396,마셜 맥시마이저,マーシャル・マキシマイザー ,柊マグネタイト,2024.01.29,9,14,18,26,29
397,"응? 아아, 그래.",え？あぁ、そう。 ,蝶々P,2024.02.01,8,12,18,25,30
398,릴레이아우터,リレイアウター ,稲葉曇,2024.02.03,7,13,18,26,30
399,오도로보,おどロボ ,海茶,2024.02.04,6,13,18,24,29
400,세상을 비추는 테트라드,世界を照らすテトラッド  ,OSTER project,2024.02.09,7,13,20,27,31
401,해피 치트 데이,ハッピーチートデー ,れるりり,2024.02.10,5,12,17,23,26
402,열여섯 살의 심장,十六歳の心臓  ,TakoyakiKZY,2024.02.13,8,14,20,27,31
403,limbo,limbo,椎乃味醂,2024.02.16,8,13,19,26,31
404,레굴루스,レグルス ,ゆうゆ,2024.02.18,6,12,18,26,29
405,고서저택 살인사건,古書屋敷殺人事件  ,てにをは,2024.02.22,6,12,18,24,28
406,JUMPIN’ OVER !,JUMPIN’ OVER !,r-906,2024.02.27,7,12,17,24,28
407,래그 트레인,ラグトレイン ,稲葉曇,2024.02.29,6,13,16,23,27
408,인테그랄,インテグラル ,*Luna,2024.03.01,8,12,16,24,28
409,개쓰레기,ド屑 ,なきそ,2024.03.04,5,12,18,25,28
410,명경지수,明鏡止水  ,旅路,2024.03.08,7,12,18,23,28
411,첫 소리,ハジメテノオト  ,malo,2024.03.09,5,12,16,23,26
412,flos,flos,R Sound Design,2024.03.11,6,12,18,23,27
413,아코토바,アコトバ  ,原口沙輔,2024.03.15,6,12,19,24,29
414,"희미한 빛, 1/f의 흔들림",幽光、 1/fのゆらめき ,卯花ロク,2024.03.18,8,13,18,25,29
415,양왕,嬢王 ,八王子P,2024.03.22,9,15,24,31,33
416,1000년 살고 있어,1000年生きてる ,いよわ,2024.03.25,5,13,18,23,28
417,기망의 달,幾望の月 ,なきゃむりゃ,2024.03.27,6,14,19,26,29
418,blender,blender,こめだわら × R Sound Design,2024.03.28,5,12,16,23,27
419,일렉트릭 엔젤,えれくとりっく·えんじぇぅ ,ヤスオ,2024.03.30,7,12,17,24,29
420,레드 랜드 마커,レッドランドマーカー ,Twinfield,2024.03.31,7,13,18,26,29
421,아이의 노래,あいのうた ,大漠波新,2024.04.02,6,12,16,25,29
422,가넷의 눈물,ガーネットの涙 ,香椎モイミ,2024.04.03,6,12,16,25,28
423,점점 빨라져,だんだん早くなる ,40mP,2024.04.04,7,13,18,24,28
424,나는 비,私は雨 ,稲葉曇,2024.04.10,6,12,18,24,28
425,취한 줄을 모르고,酔いどれ知らず ,Kanaria,2024.04.15,6,13,18,24,28
426,오갸리나이저,おぎゃりないざー ,Ponchi♪,2024.04.19,9,15,23,31,34
427,실버 콜렉터,シルバーコレクター ,Shu,2024.04.22,8,13,19,26,32
428,아슬아슬,すれすれ ,すこっぷ,2024.04.28,6,11,16,23,26
429,열화,烈火 ,niki,2024.04.30,6,12,16,23,27
430,초최종귀축 여동생 플랑도르・S,超最終鬼畜妹フランドール・Ｓ,ビートまりお × まろん,2024.05.03,9,14,20,28,32
431,Bad Apple!! feat.SEKAI,Bad Apple!! feat.SEKAI,ビートまりお × まろん × まらしぃ ,2024.05.04,7,11,18,24,29
432,"Help me, ERINNNNNN!!","Help me, ERINNNNNN!!",ビートまりお × まろん,2024.05.05,8,13,19,26,30
433,장난기 기능,おちゃめ機能  ,ゴジマジP,2024.05.07,7,13,18,24,30
434,두근두근 제트코스터,ときめきジェットコースター ,picco,2024.05.10,8,13,19,27,31
435,도쿄 테디베어,東京テディベア ,Neru,2024.05.13,9,13,18,28,31
436,열이상,熱異常  ,いよわ,2024.05.17,8,13,18,27,32
437,I know 애뇌.,I know 愛脳.  ,吉田夜世,2024.05.20,7,14,20,26,31
438,답 없는 인간이다!,だめにんげんだ!  ,薄塩指数,2024.05.24,8,13,19,26,30
439,오페라! 스페이스 오페라!,オペラ！スペースオペラ！ ,ナユタン星人,2024.05.29,9,13,19,26,30
440,발묘,抜錨  ,ナナホシ管弦楽団,2024.06.03,6,12,17,24,28
441,오늘도 상쾌하게,きょうもハレバレ  ,ふわりP,2024.06.10,6,13,17,24,28
442,Supernova,Supernova,雄之助 × 春野,2024.06.18,5,13,17,24,28
443,엠퍼플,エンパープル ,はるまきごはん,2024.06.20,6,12,17,24,29
444,합성하는 미래,合成するミライ  ,阿修,2024.06.24,7,12,19,25,30
445,LEADER,LEADER,香椎モイミ,2024.06.28,6,12,17,24,28
446,팝핀 캔디☆피버!,ポッピンキャンディ☆フィーバー !  ,キノシタ,2024.07.01,8,13,19,26,31
447,ULTRA C,ULTRA C,Giga & TeddyLoid,2024.07.07,6,12,18,25,28
448,괜찮으신가요?,ダイジョブですか?  ,cosMo@暴走P,2024.07.09,9,15,23,31,34
449,처단하겠다AAAAA!,成敗いたAAAAAす！  ,ワンダフル☆オポチュニティ！,2024.07.15,8,14,18,25,32
450,사과팔이 물거품 소녀,林檎売りの泡沫少女  ,yukkedoluce,2024.07.17,8,13,17,24,28
451,메리 고 라운드,メリーゴーラウンド  ,加賀 (ネギシャワーP),2024.07.22,5,12,18,26,29
452,마인드 브랜드,マインドブランド  ,MARETU,2024.07.29,7,13,17,24,28
453,의학,イガク  ,原口 沙輔,2024.08.03,7,14,20,25,31
454,여기저기 데이트 씨,あちこちデートさん ,駄菓子O型,2024.08.04,5,11,16,22,30
455,킬러,キラー ,夏代孝明,2024.08.07,8,13,19,27,31
456,WAVE,WAVE ,niki,2024.08.13,6,12,17,24,28
457,혜성의 은하,彗星ノ銀河  ,マツシタレオ,2024.08.19,5,11,16,21,26
458,여름밤의 노래,夏夜ノ唄 ,平田義久,2024.08.23,5,13,16,23,28
459,QUEEN,QUEEN ,Kanaria,2024.08.26,8,13,18,25,29
460,안테나 39,アンテナ 39 ,柊マグネタイト,2024.08.30,6,13,18,25,30
461,달라!!!,ちがう!!! ,カルロス袴田(サイゼP),2024.09.02,8,13,18,26,31
462,슈퍼 히어로,スーパーヒーロー ,Guiano,2024.09.09,6,13,20,25,29
463,컬처,カルチャ ,ツミキ,2024.09.13,7,13,17,25,28
464,레이어 노트,レイヤーノート ,吉田ヨシユキ,2024.09.17,5,11,16,21,27
465,그럼에도 우리는 노래하는 것을 그만두지 않아,それでも僕らは歌うことをやめない ,葵木ゴウ,2024.09.20,8,13,18,26,30
466,Unpoison,Unpoison,袖野あらわ,2024.09.24,5,12,17,23,28
467,열풍,熱風,kemu,2024.09.30,8,13,16,23,29
468,모자이크 롤 (Reloaded),モザイクロール (Reloaded),DECO*27,2024.10.01,6,13,17,24,29
469,메스머라이저,メズマライザー,サツキ,2024.10.02,8,13,20,26,31
470,키사라기 어텐션,如月アテンション,じん,2024.10.03,8,13,18,25,29
471,메인 캐릭터,メインキャラクター,*Luna,2024.10.04,8,12,17,25,29
472,콜보이,コールボーイ,syudou,2024.10.05,6,13,17,25,29
473,너와 나의 레조넌스,きみとぼくのレゾナンス ,斜め上P,2024.10.06,7,13,16,24,28
474,전생사과,転生林檎,ピノキオピー,2024.10.07,6,12,20,25,29
475,Blackjack,Blackjack,ゆちゃP,2024.10.08,6,13,17,25,31
476,Shadow Shadow ,Shadow Shadow ,Azari,2024.10.09,6,12,16,23,27
477,생명성 신드롬,生命性シンドロウム,かめりあ,2024.10.10,9,14,20,29,33
478,둔갑의 꽃,化けの花,なきそ,2024.10.12,8,13,18,27,31
479,캣 푸드,キャットフード,doriko,2024.10.15,7,12,17,24,28
480,메모리아,メモリア,Aira,2024.10.21,9,15,23,31,34
481,정수리,脳天,ムラタシユウ,2024.10.28,7,12,17,23,27
482,퓨얼,フューエル,鬱P,2024.10.29,7,13,17,25,29
483,그 소리가 울린다면,その音が鳴るなら,石風呂,2024.10.31,9,13,18,25,29
484,망상 아스파탐,妄想アスパルテーム,picco,2024.11.05,7,12,17,25,30
485,캣 러빙,キャットラビング,香椎モイミ,2024.11.13,7,12,17,25,30
486,나의 신,ぼくのかみさま,羽生まゐご,2024.11.20,6,13,17,24,28
487,패리,パリィ,宮守文学,2024.11.25,6,12,18,27,31
